record_id,subject,subject_type,program_name,status,product_scope,reward_referrer,reward_referee,reward_type,conditions,channel,limits,timing,campaign_period,eligibility,source_url,source_date,confidence,notes
partners-banka__doporuc-a-ziskej,Partners Banka,bank,Doporuč a získej,active,spořicí účet,"zvýhodněná sazba 4,06 % p.a. na spořicím účtu do 500 000 Kč na 1 kalendářní měsíc","zvýhodněná sazba 4,06 % p.a. na spořicím účtu do 500 000 Kč na 3 měsíce",other,Doporučený zadá kód stávajícího klienta. Zvýhodněná sazba za doporučení platí i bez plnění standardních podmínek pro zvýšený úrok (5 plateb kartou měsíčně + aktivní Hlídač minimálního zůstatku nastavený na alespoň 20 000 Kč).,code; app,nepodařilo se ověřit,"doporučující 1 kalendářní měsíc, doporučený 3 měsíce",,doporučující = stávající klient Partners Banky; doporučený = nový klient s kódem,https://www.partnersbanka.cz/userfiles/podminky-doporuc-a-ziskej-5e249b95.pdf,2026-09-15,medium,"JEDINÝ program na trhu, kde odměnou NENÍ PENĚŽNÍ ČÁSTKA, ale úroková sazba — proto reward_type 'other' a reward_*_value = null. Hodnota odměny závisí na zůstatku klienta, takže není srovnatelná s hotovostními programy a nelze ji seřadit do tabulky; při plném zůstatku 500 000 Kč a rozdílu cca 0,86 p.b. proti základní sazbě 3,2 % vychází zhruba 360 Kč za měsíc pro doporučujícího — ORIENTAČNÍ ODVOZENÍ, ne údaj banky. Pozoruhodná asymetrie: doporučený dostává výhodu 3× déle než doporučující. Zároveň jediný program, kde odměna obchází standardní podmínky pro zvýšený úrok."
max-banka__odmena-za-doporuceni,Max banka,bank,Odměna za doporučení (Neo účet),ended,běžný účet (Neo účet),500 Kč (program ukončen),500 Kč (program ukončen),cash,Nový klient musel provést 3 platby debetní kartou do 2 měsíců od založení účtu.,link,,3 platby kartou do 2 měsíců od založení účtu,"? – 2022-10-27 (Akce měla původně běžet do 31. 3. 2023, banka ji ale předčasně ukončila k 27. 10. 2022 na základě výhrady v podmínkách.)",doporučující = stávající klient Max banky; doporučený = nový klient,https://www.mesec.cz/aktuality/max-banka-predcasne-ukoncila-odmeny-za-zalozeni-uctu-puvodne-mela-skoncit-az-v-breznu-2023/,2026-09-15,medium,"SUBJEKT JIŽ NEEXISTUJE SAMOSTATNĚ — Max banka fúzovala s Bankou CREDITAS k 1. 10. 2024 (datum fúze pouze z fórového zdroje, confidence low). Program 500 + 500 Kč byl ukončen podstatně dříve, 27. 10. 2022, ačkoli podmínky slibovaly běh do 31. 3. 2023; banka využila výhradu o možnosti předčasného ukončení. Je to jediný doložený případ v přehledu, kdy banka MGM program ukončila dřív, než sama avizovala — relevantní pro posouzení závaznosti deklarovaných campaign_period u ostatních subjektů."
trinity-bank__zadny-mgm,Trinity Bank,bank,,none,,,,,,,,,,,https://www.trinitybank.cz/download/391,2026-09-15,low,"MGM program nenalezen. Trinity Bank má několik jiných bonusových schémat — Prémiový klub (finanční odměna 1 500 Kč), Narozeninový bonus, Bonus+ (příplatek k sazbě až 0,40 % p.a.), Dobrý klient — žádné z nich ale není MGM, všechna odměňují vlastní chování klienta, ne přivedení nového. Absence programu doložena jen fórovým zdrojem a absencí zmínky na webu banky, proto confidence low."
oberbank__nenalezeno,Oberbank,bank,,unknown,,,,,,,,,,,https://www.oberbank.cz/,2026-09-15,low,"NENALEZENO. Žádný ze zdrojů — ani oficiální web, ani žádný ze srovnávačů pokrývajících český trh — o MGM programu Oberbank nic neuvádí. Oberbank se v českých přehledech bonusů a odměn za doporučení systematicky nevyskytuje, což je slabá nepřímá indicie, že program nemá; banka ale cílí na privátní a firemní klientelu, kde se MGM běžně neřeší veřejnou kampaní. Rozlišeno jako 'unknown', ne 'none': absence zmínky v médiích zaměřených na retail nedokazuje neexistenci programu. Vyžaduje ověření přímo na webu banky, až bude dostupný."
revolut__referrals,Revolut,neobank,Doporučení (Refer a friend),active,osobní účet; Revolut Pro (samostatný program); Kids & Teens (samostatný program),výše se mění podle kampaně; sekundární zdroj uvádí až 1 500 Kč,"dle podmínek odměnu dostává POUZE doporučující, ne pozvaný",cash,"Doporučující musí mít aktivní osobní účet po celou dobu trvání akce i v okamžiku připsání odměny. Pozvaný si musí otevřít osobní účet přes odkaz pro doporučení a provést kroky uvedené v pozvánce v určeném časovém rámci. Odměna nebude vyplacena nebo bude zrušena, pokud pozvaný zruší účet do 14 dnů od otevření.",link; app,max. 5 pozvaných osob v rámci jedné kampaně,kroky musí být dokončeny před termínem uvedeným v pozvánce; clawback při zrušení účtu pozvaným do 14 dnů,"? – 2026-03-31 (Sekundární zdroj uvádí konec aktuální akce k 31. 3. 2026; k datu researche (2026-09-15) je toto datum v minulosti, takže buď běží navazující kampaň, nebo je údaj neaktuální. Neověřeno.)",doporučující = zákazník Revolutu s aktivním osobním účtem; pozvaný = nový uživatel,https://www.revolut.com/cs-CZ/legal/referrals-terms/,2026-09-15,medium,"STRUKTURÁLNĚ ODLIŠNÝ OD ČESKÝCH BANK: podle podmínek odměnu dostává POUZE doporučující — chybí symetrie, která je u českých bank pravidlem (Air Bank 500/500, ČS 6000/1200, Creditas 500/250). Revolut jako jediný subjekt v přehledu provozuje TŘI oddělené referral programy s vlastními T&C (osobní, Pro, Kids & Teens). Výše odměny není v T&C fixovaná, mění se kampaň od kampaně a je vázaná na konkrétní pozvánku — proto reward_referrer_value = null. Explicitní clawback (zrušení účtu do 14 dnů) je v přehledu ojedinělý; české banky takovou klauzuli veřejně nekomunikují."
wise__invite-program,Wise,neobank,Invite program / Referral program,active,mezinárodní převody; platební karta,"závisí na zemi; typicky cca 75 GBP po 3 pozvaných, kteří provedou kvalifikovaný převod (obvykle ≥ 200 GBP každý)",převod zdarma na první mezinárodní platbu do stanoveného limitu (typicky cca 500 GBP) nebo karta zdarma — podle země,cash,"Doporučující musí mít ověřený účet v dobrém stavu a mít za sebou alespoň jeden osobní převod. Pozvaný musí být nový uživatel, zaregistrovat se přes odkaz, projít ověřením totožnosti a splnit požadavek na objem převodu nebo útratu kartou. Odměnu lze uplatnit do jednoho roku od kvalifikace, poté propadá.",link,nepodařilo se ověřit pro ČR,odměnu je nutné uplatnit do 1 roku od kvalifikace,,geografická omezení — v některých zemích je místo hotovostního bonusu pouze sleva na poplatku; konkrétní varianta platná pro české klienty neověřena,https://wise.com/gb/legal/referral-terms,2026-09-15,low,"NEJNIŽŠÍ JISTOTA V CELÉM PŘEHLEDU. Wise přiřazuje „invite program“ podle země a nalezené T&C jsou britská verze (wise.com/gb/) — částky v GBP se na české klienty nemusí vztahovat vůbec. Zdroje samy uvádějí, že v některých zemích je místo bonusu jen sleva na poplatku. Číselné hodnoty ponechány v GBP bez přepočtu na CZK (rozhodnutí D3); ODMĚNA PLATNÁ PRO ČESKÉ KLIENTY NENÍ OVĚŘENA a nesmí se z tohoto záznamu vyvozovat. Odměna je prahová (3 pozvaní najednou), ne per-doporučený — to je mezi sledovanými subjekty ojedinělé. Prioritní kandidát na ověření trackerem přes wise.com/cz/."
n26__refer-a-friend,N26,neobank,Refer a Friend Program,active,osobní účet,výše bonusu se liší podle kampaně; celkový strop 1 500 EUR na zákazníka,"nepodařilo se ověřit, zda pozvaný dostává odměnu",cash,"Pozvaný musí provést první platbu kartou (nákup v obchodě nebo online, PayPal vyloučen) v hodnotě alespoň rovné výši referral bonusu. Program lze používat pouze pro osobní, nekomerční účely.",link; app,max. 10 referral bonusů na uživatele; celkem max. 1 500 EUR na zákazníka,"připsání odměny může trvat až 60 dnů; zahájená, ale nedokončená doporučení se po roce mažou",,doporučující = stávající zákazník N26; pozvaný = nový uživatel,https://docs.n26.com/legal/01+DE/01+Account/en/15account-terms-and-conditions-friend-referral-3.0-en.pdf,2026-09-15,medium,"NEJVYŠŠÍ STROP ODMĚNY V CELÉM PŘEHLEDU: 1 500 EUR (řádově 37 000 Kč) proti 26 000 Kč u mBank — pozor ale, že jde o strop, ne o reálně dosahovanou částku, a jednotková odměna za doporučeného je neznámá. Dvě mechaniky jinde nevídané: (1) podmínka, že pozvaný musí zaplatit kartou ALESPOŇ TOLIK, KOLIK ČINÍ BONUS — odměna si tak sama určuje kvalifikační práh, (2) bonus může být vyplacen v AKCIÍCH nebo zlomcích akcií místo v eurech, navázaný na N26 Brokerservice. Nalezené T&C jsou německá a italská verze; česká varianta neexistuje, N26 pro ČR nemá lokalizované podmínky. Částka ponechána v EUR bez přepočtu (rozhodnutí D3)."
bunq__refer-a-friend,bunq,neobank,Refer a friend,active,osobní účet; karty; spoření; akcie; krypto,"obě strany dostávají stejnou odměnu; forma se liší podle aktuální nabídky v aplikaci — hotovost, krypto, Metal Card, bonusový úrok na spoření nebo výhody pro obchodování s akciemi",stejná odměna jako doporučující (symetrická),other,"Pozvaný se připojí a splní kvalifikační krok navázaný na konkrétní nabídku — aktivace Switch Service, vložení peněz nebo provedení platby. Po splnění přijde doporučujícímu notifikace a odměnu je nutné aktivně nárokovat tlačítkem Claim Reward.",app; link,"max. 5 pozvaných za kalendářní měsíc — 1 z každé záložky (Home, Cards, Savings, Stocks, Crypto)",nepodařilo se ověřit,,doporučující = uživatel bunq; pozvaný = nový uživatel (zvaný přes telefonní číslo v aplikaci),https://www.bunq.com/personal-account/banking-features/refer-a-friend,2026-09-15,medium,"NEJŠIRŠÍ PALETA FOREM ODMĚNY v přehledu — jako jediný subjekt nabízí krypto a zlomky akcií vedle hotovosti, fyzické karty a bonusového úroku; proto reward_type 'other'. Limit je konstruován zcela odlišně od všech ostatních: ne „X doporučených celkem“, ale 1 pozvaný z KAŽDÉ z pěti záložek aplikace za měsíc, což uživatele tlačí k používání všech produktů banky, ne jen účtu. Odměna se nepřipisuje automaticky — je nutné ji ručně nárokovat (Claim Reward), což je mechanika, která část odměn nechá propadnout. Konkrétní částky nejsou veřejné, závisí na nabídce v aplikaci — bez přístupu do aplikace neověřitelné."
curve__refer-a-friend,Curve,neobank,Refer a friend,active,platební karta / agregátor karet,ROZPOR MEZI ZDROJI: oficiální podmínky uvádějí 1 % cashback na 30 dnů navíc za každého doporučeného; sekundární zdroje uvádějí 50 GBP v Curve Cash za doporučeného,nepodařilo se spolehlivě ověřit; sekundární zdroje uvádějí 50 GBP v Curve Cash,other,"Doporučený musí podat žádost, dokončit onboarding a provést alespoň 1 nákup kartou Curve. Odměny se za více doporučených sčítají (3 doporučení = 1 % cashback po 90 dnů).",link; code,dle sekundárních zdrojů max. 5 doporučených za období nabídky (až 250 GBP v Curve Cash); dle oficiálních podmínek limit neuveden,"1 % cashback navazuje na úvodních 6 měsíců cashbacku, poté +30 dnů za každé doporučení",,nepodařilo se ověřit dostupnost a podmínky pro české klienty,https://www.curve.com/legal/referral-promo-terms/,2026-09-15,low,"ROZPOR NEROZŘEŠEN. Dvě neslučitelné mechaniky ve zdrojích: prodloužení 1% cashbacku o 30 dnů vs. 50 GBP v Curve Cash. Pravděpodobně jde o dvě různé kampaně v čase, ale bez přístupu k T&C to nelze rozhodnout, proto žádnou z nich neuvádím jako číselnou hodnotu. Odměna ve formě PRODLOUŽENÍ CASHBACKU je v přehledu unikátní — hodnota pro doporučujícího závisí na jeho vlastní útratě, takže program odměňuje nejvíc ty, kdo kartu stejně používají nejvíc. Sekundární zdroje jsou převážně affiliate weby sbírající referral kódy, tedy strana se zájmem na nadsazení odměny — zacházet s nimi opatrně. Dostupnost Curve pro české klienty a měna odměny neověřena."
twisto__promo-kody,Twisto,neobank,Promo kódy / doporučení,unknown,odložené platby; Twisto účet; karta,"nejednoznačné: zdroje uvádějí 50 Kč za doporučeného, jinde 300–500 Kč pouze pro vybrané zákazníky",500 Kč po registraci s promo kódem (dle sekundárních zdrojů),cash,"Nepodařilo se ověřit. Zdroje shodně uvádějí, že nejde o plošnou kampaň — promo kódy jsou dostupné jen vybraným zákazníkům z portfolia.",code,nepodařilo se ověřit,nepodařilo se ověřit,,"pouze vybraní zákazníci Twista, neplošně",https://www.twisto.cz/vychytavky/twistoucet/,2026-09-15,low,"NEJDE O STANDARDNÍ MGM PROGRAM. Zdroje se shodují jen v tom, že promo kódy nejsou plošné a dostávají je pouze vybraní zákazníci — tím se Twisto vymyká definici otevřeného MGM programu, kde může doporučovat každý klient. Uváděné částky si přímo odporují (50 Kč vs. 300–500 Kč), a část zdrojů jsou recenzní weby s vlastním affiliate kódem v textu, tedy motivované k nadsazení. Žádnou částku proto neuvádím jako fakt. Status 'unknown' místo 'active': není jisté, že program v otevřené podobě vůbec existuje."
skip-pay__doporucte-nas,Skip Pay,neobank,Doporučte Skip Pay,active,odložené platby (balíček MAXI),"500 Kč za každý nově ověřený balíček MAXI přes odkaz, celkem až 5 000 Kč",sleva 500 Kč (voucher do e-mailu),voucher,Odkaz lze sdílet neomezeně často. Odměna 500 Kč náleží za každý nově ověřený balíček MAXI pořízený přes odkaz doporučujícího. Doporučený dostane slevu 500 Kč e-mailem a uplatní ji při platbě objednávky nebo měsíčního vyúčtování v minimální hodnotě 501 Kč v Zákaznické zóně.,link,"max. 10 doporučení, tj. až 5 000 Kč",nepodařilo se ověřit,,nepodařilo se ověřit,https://skippay.cz/doporucte-nas,2026-09-15,medium,"ASYMETRIE FORMY ODMĚNY: doporučující dostává 500 Kč, ale doporučený jen SLEVOVÝ VOUCHER 500 Kč použitelný na objednávku od 501 Kč — tedy nutí k další útratě a je podmíněně hodnotný, ne hotovost. Proto reward_type 'voucher', nikoli 'cash'. Skip Pay patří do skupiny ČSOB, takže jde fakticky o jediný MGM program v této skupině, který se podařilo doložit (u samotné ČSOB zůstává nejasný). Struktura 500 Kč × 10 = 5 000 Kč je totožná s Air Bank, ale mechanika je vázaná na produkt odložených plateb, ne na běžný účet."
